Year,"Corn Yield
(bu/acre)","Alfalfa Yield 
(tons/acre)"
1972,70,
1973,81,
1974,88,
1975,98,
1976,64,
1977,71,
1978,98,
1979,97,
1980,82,4.37
1981,113,4.49
1982,110,4.5
1983,98,4.4
1984,120,4.7
1985,107,4.4
1986,130,4.4
1987,147,4.65
1988,127,4.46
1989,131,4.11
1990,141,4.42
1991,141,4.54
1992,131,4.49
1993,127,4.7
1994,124,4.6
1995,109,4.8
1996,130,4.4
1997,124,5
1998,122,5
1999,130,4.8
2000,153,4.6
2001,161,4.2
2002,144,3.9
2003,156,4.6
2004,145,4.2
2005,,4.8
2006,151,4.7
2007,146,4.9
2008,155,5.05
2009,150,5
2010,,4.95
2011,,4.85
2012,155,5
2013,,5.05
2014,,5.3
2015,,4.8
2016,,5
2017,192,5.2
